publication_id,subteam,authors,title,type,date,project_year,doi,venue,short_title,status,scope
28,Discover,30;33;8,Novel Nitrogen and N-Sulfur-Doped Colloid Imprinted Carbons (CICs) as Catalysts for Electrochemical CO2 Reduction,Conference,10/24/2024,2,,PRIME ECS 2024,N / N–S CICs for CO2R,Complete,
29,Discover,129;1,How we can make energy from carbon dioxide,Other,10/29/2024,2,,This Could Change Everything Podcast,Making Energy from CO2,Complete,
30,Discover,117;37;4;3,Enhanced CO2-to-CH4 conversion via grain boundary oxidation effect in CuAg systems,Journal,11/15/2024,2,10.1016/j.cej.2024.156728,Chemical Engineering Journal,CuAg Systems for CO2→CH4,Complete,Electrolyzer optimization
31,Discover,47;130;109;46;10;9,Atomic-level Cu active sites enable energy-efficient CO2 electroreduction to multi-carbon products in strong acid,Journal,11/26/2024,2,10.1038/s44160-024-00689-0,Nature Synthesis,Cu Sites for Acid CO2R,Complete,Catalyst design
32,Discover,18;10,Leveraging the potential of anodic upgrading for direct olefin electro-epoxidation using supported catalysts,Conference,12/5/2024,2,,27th Canadian Symposium on Catalysis,Anodic Upgrading for Epoxidation,Complete,
33,Discover,29;5,Composites of azo-linked pyrene-tetraone porous organic polymers as cathodes for lithium-ion batteries,Journal,1/3/2025,2,10.1039/D4LP00320A,RSC Applied Polymers,Azo-POP Cathodes for Li-Ion,Complete,Electrolyzer optimization
34,Discover,127;123;2,Electrolytic cement clinker precursor production sustained through orthogonalization of ion vectors,Journal,1/29/2025,2,10.1039/D4EE04881D,Energy & Environmental Science,Electrolytic Clinker (2025),Complete,Cement electrolyzer
35,Discover,30;34;35;8,CO₂ Reduction at Urea-Treated Mesoporous Carbon Electrocatalysts,Conference,5/20/2025,3,,247th ECS Meeting,Urea-Treated Carbons for CO2R,Complete,
36,Discover,5,In Situ Electrochemical Polymerization of Nitro Compounds into Azo Cathodes: A Promising Strategy for Aqueous Zinc-Ion Batteries,Journal,5/25/2025,3,10.1021/acsami.5c03148,ACS Applied Materials & Interfaces,In-Situ Azo Cathodes for Zn-Ion,Complete,Electrolyzer optimization
37,Discover,109;130;46;9;10,Scaled CO Electroreduction to Alcohols,Journal,5/29/2025,3,10.1038/s41467-025-59180-9,Nature Communications,Scaled CO-to-Alcohols,Complete,Scaling electrolyzer
38,Discover,29;5,Bio-Derived Electrodes Based on a Vitamin K Cathode Material and a Mussel-Inspired Binder for Sustainable Aqueous Zinc-Ion Batteries,Journal,6/10/2025,3,10.1021/acssuschemeng.4c10684,ACS Sustainable Chemistry & Engineering,Bio-Derived Zn-Ion Electrodes,Complete,Electrolyzer optimization
39,Discover,10,Enduring CO electrolysis with ampere-level reaction rates using nickel-doped iridium catalysts,Journal,7/15/2025,3,10.1021/jacs.5c06853,Journal of the American Chemical Society,Durable High-Rate CO Electrolysis,Complete,Electrolyzer optimization
40,Discover,29;5,"Stable, high-rate, organic zinc-ion batteries accomplished using an ion-conducting marine-inspired binder",Journal,7/15/2025,3,10.1039/D5EB00125K,EES Batteries,Stable Organic Zn-Ion Batteries,Complete,Electrolyzer optimization
